u_q,coolant,stator_winding,u_d,stator_tooth,motor_speed,i_d,i_q,pm,stator_yoke,ambient,torque
87.75298309326172,19.231056213378903,70.86285400390625,-95.8562469482422,55.828426361083984,4999.9462890625,-138.806640625,53.35244369506836,60.38705825805664,39.45228576660156,23.302783966064453,48.52931213378906
88.05391693115234,19.175678253173828,70.99095916748047,-95.40157318115234,55.93963241577149,4999.96435546875,-139.13092041015625,53.25358963012695,61.10401153564453,39.45228576660156,23.088998794555664,48.42460250854492
87.26244354248047,19.325267791748047,71.2339096069336,-96.0682601928711,56.12982940673828,4999.955078125,-138.81532287597656,53.32057189941406,61.66844940185547,39.45228576660156,23.19990921020508,48.61470413208008
87.7920150756836,19.442102432250977,71.2815933227539,-95.75066375732422,56.289527893066406,4999.9560546875,-138.90292358398438,53.3289680480957,62.19231414794922,39.45989990234375,23.167282104492188,48.48332595825195
87.49858856201172,19.510887145996094,71.61343383789062,-95.89754486083984,56.4979133605957,4999.958984375,-139.06353759765625,53.328712463378906,62.659027099609375,39.57493591308594,23.158042907714844,48.740013122558594
87.66106414794922,19.560426712036133,71.81012725830078,-96.00289916992188,56.706912994384766,4999.94873046875,-138.535888671875,53.3325309753418,63.15699768066406,40.03288269042969,23.339635848999023,48.29863739013672
87.76075744628906,19.49629783630371,71.94293212890625,-95.70843505859376,57.254093170166016,4999.94873046875,-138.985595703125,53.30556869506836,63.51754760742188,40.1180419921875,23.18647766113281,48.5252571105957
87.239990234375,19.24637222290039,71.95814514160156,-96.10265350341795,57.24728012084961,4999.95947265625,-138.56297302246094,53.34817123413086,63.52976989746094,40.83691787719727,23.928449630737305,48.54680252075195
87.46947479248047,18.89667320251465,72.06700897216797,-96.25782012939452,57.44281005859375,4999.953125,-138.61138916015625,53.4222297668457,64.41108703613281,40.85822677612305,23.47516250610352,48.5639877319336
87.6553955078125,18.81838035583496,72.01666259765625,-95.8414535522461,57.471778869628906,4999.9501953125,-138.90447998046875,53.321266174316406,64.5438461303711,40.7962760925293,23.13036346435547,48.47043991088867
87.4177017211914,18.90672492980957,72.06633758544922,-95.95289611816406,57.45529174804688,4999.9580078125,-138.54905700683594,53.35236358642578,64.8982162475586,40.21821975708008,24.05762481689453,48.59829711914063
87.37313079833984,19.27384185791016,72.09830474853516,-96.24888610839844,57.43235397338867,4999.953125,-138.25918579101562,53.37343978881836,65.05534362792969,40.16455459594727,23.44436454772949,48.39720153808594
87.62199401855469,19.617450714111328,72.08351135253906,-95.9717025756836,57.47149658203125,4999.96142578125,-138.5200958251953,53.36786651611328,65.45427703857422,41.21673202514648,22.63694190979004,48.428955078125
87.68617248535156,19.85692024230957,72.11579132080078,-95.8777084350586,57.48787689208984,4999.95068359375,-138.69223022460938,53.38719940185547,65.75558471679688,41.583961486816406,24.064668655395508,48.57969665527344
87.1224136352539,18.85321044921875,72.1204605102539,-96.27473449707033,57.52435302734375,4999.9541015625,-138.45594787597656,53.38671112060547,65.88471984863281,41.71102523803711,23.29349136352539,48.59575653076172
87.13385009765625,18.452510833740234,72.1202621459961,-96.31582641601562,57.52272415161133,4999.95361328125,-138.24917602539062,53.34665298461914,66.10179138183594,41.41647720336914,23.206514358520508,48.39370346069336
87.36185455322266,18.79387092590332,72.11767578125,-96.30121612548828,57.49370956420898,4999.951171875,-138.54185485839844,53.41876983642578,66.19046783447266,41.12327194213867,24.72783851623535,48.50032806396485
87.38531494140625,19.31993865966797,72.0669937133789,-96.0287857055664,57.49070358276367,4999.958984375,-138.696533203125,53.350006103515625,66.36312866210938,41.3260612487793,22.893404006958008,48.506256103515625
87.43087768554688,19.710538864135746,72.06722259521484,-96.07201385498048,57.521522521972656,4999.953125,-138.66949462890625,53.36896896362305,66.60057067871094,41.5713005065918,23.703861236572266,48.58160400390625
86.9223403930664,19.4967098236084,72.10806274414062,-96.43492126464844,57.684383392333984,4999.947265625,-138.207763671875,53.36366271972656,66.69754028320312,41.87978744506836,23.386638641357425,48.6606330871582
87.17356872558594,18.897777557373047,72.12088775634766,-96.5268783569336,57.79342269897461,4999.95703125,-138.20962524414062,53.40144348144531,66.90145111083984,41.74769592285156,23.4226188659668,48.572025299072266
87.24665832519531,18.72743797302246,72.0843734741211,-96.34087371826172,57.731231689453125,4999.95166015625,-138.38357543945312,53.41490936279297,67.03436279296875,41.660438537597656,24.6010971069336,48.54174041748047
87.34379577636719,19.11168670654297,72.10767364501953,-96.23950958251952,57.667930603027344,4999.9541015625,-138.6010284423828,53.3952522277832,67.18441772460938,41.45930862426758,23.952112197875977,48.53340911865234
87.40929412841797,19.524293899536133,72.1160888671875,-96.13611602783205,57.66987228393555,4999.95263671875,-138.6961669921875,53.39246368408203,67.22181701660156,41.58188247680664,23.6138973236084,48.63746643066406
87.25316619873047,19.887958526611328,72.1217041015625,-96.2950210571289,57.71885299682617,4999.94970703125,-138.45643615722656,53.40082550048828,67.42124938964844,41.978782653808594,24.38704299926757,48.63161087036133
86.79122924804688,19.61776351928711,72.1253890991211,-96.6372299194336,57.87931060791016,4999.95654296875,-138.24574279785156,53.444786071777344,67.49530029296875,41.99418258666992,23.42512321472168,48.70325469970703
86.9508285522461,19.040451049804688,72.1217269897461,-96.57938385009766,58.10321044921875,4999.9521484375,-138.0608367919922,53.3912467956543,67.6340103149414,42.087886810302734,23.23798561096192,48.47880172729492
87.26951599121094,18.693538665771484,72.12088012695312,-96.52578735351562,58.15375518798828,4999.95458984375,-138.21533203125,53.46943283081055,67.73739624023438,41.83316421508789,23.16537094116211,48.527626037597656
87.24034881591797,19.17631721496582,72.1217269897461,-96.36331176757812,57.87324142456055,4999.94921875,-138.34091186523438,53.3815803527832,67.86588287353516,41.77096939086914,23.309070587158203,48.492183685302734
87.27519226074219,19.53331756591797,72.1217269897461,-96.22889709472656,58.029239654541016,4999.95703125,-138.44158935546875,53.36000061035156,67.95777893066406,41.89177322387695,24.0705680847168,48.49480819702149
87.29425811767578,19.710851669311523,72.1217269897461,-96.18034362792967,57.97053527832031,4999.94384765625,-138.58786010742188,53.34878540039063,67.958251953125,42.14803314208984,23.614850997924805,48.49588394165039
87.40271759033203,19.24517250061035,72.12174987792969,-96.15355682373048,58.24069213867188,4999.94921875,-138.5623321533203,53.37751770019531,68.06065368652344,42.19234848022461,24.021709442138672,48.61872863769531
